case_name,aircon,ventilation,exhaust,1_x,1_y,1_z,1_angle,2_x,2_y,2_z,2_angle,3_x,3_y,3_z,3_angle,4_x,4_y,4_z,4_angle,5_x,5_y,5_z,5_angle,office_size_x,office_size_y,RoI,predict values,residuals,legend
office2_960_164_aout,960,164,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,198.9090909090909,205.98305992499556,7.073969015904652,Training:office2
office2_960_82_bout,960,82,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,220.0848484848485,205.82164961432736,-14.263198870521137,Training:office2
office2_960_246_bout,960,246,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,224.3818181818182,206.0218807536387,-18.359937428179506,Training:office2
office2_660_164_bout,660,164,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,135.40606060606063,187.33276302625924,51.92670242019861,Training:office2
office2_0_164_bout,0,164,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,183.3272727272728,208.2949721661936,24.96769943892079,Training:office2
office2_0_82_aout,0,82,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,218.9454545454545,214.41791873494657,-4.527535810507942,Training:office2
office2_960_82_aout,960,82,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,208.4848484848485,209.22373705528454,0.7388885704360462,Training:office2
office2_0_246_bout,0,246,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,232.1818181818182,223.07217462550804,-9.109643556310147,Training:office2
office2_0_0,0,0,3,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,204.2242424242424,213.52486891798762,9.300626493745227,Training:office2
office2_0_82_bout,0,82,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,230.1393939393939,212.4408254608452,-17.698568478548708,Training:office2
office2_660_246_bout,660,246,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,175.62424242424242,199.1631102558857,23.538867831643273,Training:office2
office2_0_246_aout,0,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,240.43636363636364,243.5643952619359,3.1280316255722767,Training:office2
office2_660_164_aout,660,164,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,222.52121212121216,197.59255650872336,-24.928655612488797,Training:office2
office2_360_82_aout,360,82,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,152.35151515151514,197.7602872655318,45.40877211401664,Training:office2
office2_660_246_aout,660,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,236.830303030303,215.62441407052904,-21.205888959773972,Training:office2
office2_660_82_bout,660,82,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,202.8242424242424,197.93592439004337,-4.888318034199045,Training:office2
office2_360_164_aout,360,164,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,201.7454545454545,199.67313411775967,-2.0723204276948195,Training:office2
office2_360_0,360,0,3,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,223.0848484848485,210.05203394091677,-13.032814543931721,Training:office2
office2_960_0,960,0,3,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,228.04242424242423,228.76920647893323,0.7267822365089955,Training:office2
office2_660_82_aout,660,82,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,212.3939393939394,198.71959187458526,-13.674347519354143,Training:office2
office2_0_164_aout,0,164,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,238.3454545454545,221.22854265538484,-17.116911890069645,Training:office2
office2_360_246_bout,360,246,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,230.8787878787879,202.72620333285266,-28.15258454593524,Training:office2
office2_960_246_aout,960,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,216.87878787878785,224.2696493422522,7.390861463464347,Training:office2
office2_960_164_bout,960,164,2,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,188.86060606060605,193.55641052191498,4.6958044613089385,Training:office2
office2_360_246_aout,360,246,1,3.78,1.265,1.255,90.0,4.76,2.74,1.255,180.0,4.76,4.19,1.255,180.0,2.84,4.59,1.255,0.0,2.84,3.14,1.255,0.0,6.0,5.5,200.72727272727275,218.8513948160063,18.124122088733543,Training:office2
